Origin_Port,Destination_Port,Distance_km,Base_ETA_Days,Base_Cost,Disruption_Probability,ETA_P50,ETA_P90,ETA_P95,ETA_P99,Expected_Cost,Cost_P50,Cost_P90,Cost_P95,Cost_P99,ETA_Risk,Cost_Risk,Disruption_Risk,Risk_Adjusted_Score
Mundra,Tokyo,7000.0,11.56820159015282,9104.093620442707,0.2232,11.56820159015282,24.20820159015286,25.69632364288827,30.748213529726907,9005.682677323222,4775.911590486838,21124.146636539343,30073.359293829835,62061.93929372371,0.22256439398791925,0.32277438385947893,0.2232,0.2528180727530114
Tokyo,Mumbai,6800.0,11.434803178324556,8954.3933167541,0.227,11.434803178324556,24.19480317832455,25.664896353323222,31.956677450084886,9307.650615548699,4820.076289361974,21758.95752093883,30167.27841645279,65525.74386684273,0.2179165616485517,0.32991372008100145,0.227,0.2542407406837211
Yokohama,Brisbane,7250.0,11.891365736143904,9128.128784570312,0.2167,11.891365736143904,24.53136573614389,26.037595991179803,30.82128831413394,9143.428516714997,4788.955904958898,21441.605722241286,30174.732135771927,66675.3025466418,0.2730357098052831,0.33048032043707376,0.2167,0.2733683800532354
Tokyo,Mundra,7000.0,11.588614157074677,9176.206057399104,0.2202,11.588614157074677,24.2552117120921,25.818614157074638,31.374723385895322,9299.150062512495,4959.922497711432,21657.661023907476,30912.937297059194,64837.87594387382,0.24065013458151518,0.38659556831956254,0.2202,0.27829872432847486
Yokohama,Sydney,7850.0,12.44528495025377,9182.055149868942,0.2261,12.44528495025377,25.03728495025381,26.615284950253788,31.90701911173043,9153.591726318311,4930.658509128385,21238.81125930489,29932.089380213445,64879.20486887522,0.358471057976885,0.3120356398941863,0.2261,0.3048291151590099
Osaka,Melbourne,8100.0,12.814586139211292,9479.266797714286,0.2246,12.814586139211292,25.434586139211298,27.044586139211255,32.56598846904488,9257.218104788155,4950.09939760792,21966.453461046556,30594.713606629968,66454.48696619518,0.4219611004520893,0.36240554336853487,0.2246,0.3448861031913962
Osaka,Sydney,7700.0,12.434298993079915,9635.819415972102,0.2271,12.434298993079915,25.0742989930799,26.60429899307993,32.45178800637744,9755.737374648847,5141.850193087784,22907.12923896784,32320.49131985096,68088.56408251046,0.3568463271223237,0.49359189811929105,0.2271,0.35894610028471685
Tokyo,Sydney,7800.0,12.52421917720008,10013.951300208331,0.229,12.52421917720008,25.027191371090673,26.69539657763211,32.28764050275079,10081.25778925154,5420.568967875366,23015.090802337792,32240.590827781685,74041.83170299673,0.3703188952432088,0.48751819916196903,0.229,0.3630830178458742
Tokyo,Melbourne,8200.0,12.99587314038059,9657.96838281416,0.2211,12.99587314038059,25.635873140380575,27.165873140380604,31.994748501372786,9862.10718115802,5154.382552214775,23767.67488742224,32535.90527145778,67812.3087564643,0.43989842989352973,0.509966759642454,0.2211,0.3952793998501481
Chennai,Melbourne,8700.0,13.47041763350207,9860.93016442143,0.2177,13.47041763350207,26.214569961009513,27.67041763350206,33.6410390472453,9737.918711719796,5134.982106167911,22742.30723201169,32166.601109109244,69668.8652404612,0.5145163254942924,0.4818938123088352,0.2177,0.4156846738903675
Yokohama,Melbourne,8250.0,12.995897383838988,10051.893057132653,0.2221,12.995897383838988,25.61589738383899,27.12633450878993,32.77502607840512,10325.826664979291,5450.436147198996,24020.510692742366,34112.89490336334,72368.91270245356,0.43405099815172754,0.6298428709773878,0.2221,0.42920326055390734
Melbourne,Chennai,8700.0,13.437714264299746,9857.745407161769,0.2301,13.437714264299746,26.07771426429979,27.637714264299735,33.91747133067306,9729.239356661441,5058.843915454585,22845.70080360389,33004.33740934681,69219.30052079986,0.5096797716874415,0.545574998262636,0.2301,0.4365744081537674
Sydney,Chennai,9000.0,13.890082105573178,10553.58553130137,0.2244,13.890082105573178,26.540082105573156,28.020082105573174,34.00231284490155,10446.170519650464,5333.791748756321,24968.782891147748,34702.805862110836,74101.74314394078,0.5662287659787385,0.6746854180289256,0.2244,0.4962171318001731
Chennai,Brisbane,9300.0,14.203279658440993,10145.71722109607,0.2269,14.203279658440993,26.733279658440964,28.223279658440973,33.105159885725115,10173.66971443854,5395.711468104811,24364.228616957695,34754.03201230895,67426.91193939063,0.5962799784940439,0.6785794142608403,0.2269,0.5101558156758697
Chennai,Sydney,9000.0,14.012939042471736,10446.625853403362,0.2226,14.012939042471736,26.522939042471727,28.151681541490845,33.980000701465464,10802.3737365234,5545.551626251594,25753.909780390284,36154.234981281355,74455.99075961953,0.5856912179612641,0.7850169479034795,0.2226,0.5365615715555495
Brisbane,Chennai,9300.0,14.193817104569163,10835.50679253275,0.2212,14.193817104569163,26.724705746008013,28.32581710456913,33.674317086577375,10915.326177024699,5772.193342942832,25704.87372016102,36014.8648442888,76562.27865946278,0.611444406120683,0.7744226169574375,0.2212,0.5432645475355045
Mumbai,Melbourne,10200.0,15.462716846855956,10772.37965344,0.2272,15.462716846855956,28.071580905093544,29.59271684685595,35.549877164107514,10743.547882538682,5745.506618072567,24963.045859368813,35095.259300795464,75515.18888589862,0.7988082441872595,0.7045180758712527,0.2272,0.5990387204362797
Mumbai,Sydney,10500.0,15.658914119861867,10288.628611109812,0.2251,15.658914119861867,28.108544298625194,29.778914119861874,34.640081676725934,10180.961702553452,5333.31286109674,23854.723875101485,34657.41552413648,72240.41665933421,0.8263452580041127,0.6712350356684725,0.2251,0.5994386139021869
Melbourne,Mumbai,10200.0,15.40274496277843,10699.776159859157,0.2235,15.40274496277843,27.933633604217277,29.536398121325895,34.85321450458991,10826.940968961835,5629.641934184059,25871.35162534626,35889.21788279364,75949.67980887677,0.7904791773967951,0.7648714640263367,0.2235,0.6127031101666189
Brisbane,Mumbai,10800.0,16.05215199543543,11133.797886953193,0.2184,16.05215199543543,28.692151995435474,30.182151995435426,35.583450053513324,10852.075784433433,5906.202947469517,26026.504607605133,35613.60889123346,73209.90991348673,0.8859807551942043,0.7439208290388042,0.2184,0.643088550789323
Sydney,Mumbai,10500.0,15.718259079423374,11465.2089375,0.2229,15.718259079423374,28.344731232318246,29.918259079423365,35.90826002173505,11201.80845249078,5895.014594264036,26142.291997075954,36912.66921915655,80371.97410278107,0.846953207920928,0.8426699250063737,0.2229,0.6584522606702833
Mumbai,Brisbane,10800.0,16.054859395975313,11303.170427698276,0.2214,16.054859395975313,28.584859395975286,30.255359395975297,36.01160379279702,11235.621669306696,6004.464696644805,26739.3171777194,36400.80648540307,79157.05715186124,0.8968075152622651,0.8037602753687336,0.2214,0.6662710887155262
Mundra,Sydney,11000.0,16.17130129653294,11164.935575730597,0.2224,16.17130129653294,28.811301296532932,30.291301296532943,35.207037230590004,11048.834350514298,5793.888753386788,25878.01662058158,36374.16445695118,79956.30231988027,0.9021230206737131,0.8017350605516723,0.2224,0.6680897264349869
Sydney,Mundra,11000.0,16.34333974263756,10937.44097619898,0.2257,16.34333974263756,29.113339742637542,30.643339742637515,37.21230717870182,10910.500188492959,5799.026180560811,25395.142875024223,35678.2063324207,74559.73391676735,0.9541865519915792,0.7488312545070782,0.2257,0.6740339971487552
Brisbane,Mundra,11300.0,16.626878234089347,11143.643500296215,0.2333,16.626878234089347,29.21687823408938,30.756878234089342,36.1816435077679,11057.988888313042,5839.25911228531,25560.32593858664,35826.86409158565,78743.14075717075,0.9709779418834932,0.7601315913817895,0.2333,0.6864206541679341
Mundra,Melbourne,10700.0,16.003428151441362,11668.32631039959,0.2223,16.003428151441362,28.65342815144134,30.20342815144135,35.678809445150165,11450.064104317637,6143.612216338101,27132.231038957187,37860.56935895725,76724.68340983026,0.8891273200844755,0.9147253021592606,0.2223,0.6967585186815685
Melbourne,Mundra,10700.0,15.88919208703066,11809.6474301982,0.2332,15.88919208703066,28.472224041712952,30.089192087030646,36.233517096508855,11765.48767051264,6220.4776408279795,27370.08672893182,38982.371800337714,81039.7466373385,0.8722327650070741,1.0,0.2332,0.7188531060028297
Mundra,Brisbane,11300.0,16.653116944439518,11632.936846016808,0.2294,16.653116944439518,29.45311694443953,30.953116944439472,36.93589899358291,11634.34568368921,6174.2211692563305,27519.4282899408,38946.4227987703,78410.28713084276,1.0,0.997267308277057,0.2294,0.7680001924831171
